Belegnummer;Personennummer;Buchungsdatum;Betrag;Verwendungszweck
14732;10280;25.05.2025;3515,32;Überweisung an Peter Pflüger
11435;10469;21.12.2025;5523,95;Gutschrift Vorgang 2216
15579;10315;10.10.2025;8542,25;Überweisung an Heike Kettenbach
10637;10021;30.07.2025;3530,19;"Miete Februar; Konto DE33999999990000010021"
13479;10413;16.06.2025;5649,60;"Miete April; Konto DE65999999990000010413"
13374;10469;06.01.2025;8730,88;Gutschrift Vorgang 8191
11848;10189;02.09.2025;2934,06;Beitrag Januar – Kundennummer 10189
15628;10294;13.07.2025;4024,57;"Miete Juli; Konto DE36999999990000010294"
14130;10658;24.03.2025;5770,56;Dauerauftrag Dezember
15677;10770;27.01.2025;5329,80;Lastschrift DE62999999990000010770
13360;10091;18.12.2025;-1120,61;Gutschrift Vorgang 6138
12037;10112;27.11.2025;500,13;Rechnung 2024-3731, Rückfragen unter (057) 9540253
10140;10707;27.02.2025;3494,84;Beitrag Juli – Kundennummer 10707
14606;10231;22.07.2025;-836,16;Dauerauftrag April
11071;10112;03.11.2025;5026,31;Rückzahlung an peter.quandtner@beispiel-firma.de
10455;10826;16.10.2025;3174,52;Rückzahlung an bernd.pflueger@beispiel-firma.de
15138;10770;03.08.2025;4702,47;Rückzahlung an gerd.reinsberg@beispiel-firma.de
14956;10462;12.01.2025;-2926,07;Überweisung an Olaf Baumgartner
14431;10539;14.02.2025;3632,15;Überweisung an Elke Achterberg
13654;10770;17.11.2025;5386,45;Rechnung 2024-5873, Rückfragen unter +49 45 67080005
12149;10238;29.08.2025;3272,92;Überweisung an Holger Baumgartner
10672;10203;01.11.2025;1962,76;Rechnung 2024-9668, Rückfragen unter +49 49 45176517
10910;10420;27.09.2025;4977,00;Rückzahlung an gerd.thelen@beispiel-firma.de
12639;10455;24.12.2025;2119,18;Rückzahlung an renate.zangerle@beispiel-firma.de
10490;10336;12.12.2025;-1162,88;Gutschrift Vorgang 3654
14361;10462;29.11.2025;1514,90;Gutschrift Vorgang 1718
12163;10000;15.10.2025;5341,07;Überweisung an Dieter Grünwald
14473;10413;30.11.2025;808,92;"Miete September; Konto DE65999999990000010413"
13731;10259;26.04.2025;8869,11;Lastschrift DE91999999990000010259
13024;10665;18.11.2025;3006,99;Dauerauftrag Dezember
15159;10651;05.11.2025;5850,72;Überweisung an Claudia Jahnke
10147;10770;04.04.2025;6556,37;Lastschrift DE62999999990000010770
13885;10623;05.05.2025;4317,73;Lastschrift DE05999999990000010623
11211;10560;16.05.2025;6259,31;Überweisung an Olaf Jahnke
12954;10511;02.05.2025;884,24;Beitrag Februar – Kundennummer 10511
14221;10406;24.12.2025;-1150,65;"Miete Oktober; Konto DE58999999990000010406"
12947;10140;13.01.2025;941,53;Dauerauftrag Juni
13206;10196;02.02.2025;-730,72;Dauerauftrag Juni
15810;10434;03.01.2025;-2543,93;"Miete Februar; Konto DE86999999990000010434"
11631;10651;07.08.2025;2509,40;Rückzahlung an claudia.jahnke@beispiel-firma.de
10140;10175;15.05.2025;3651,88;Rückzahlung an franziska.fassbender@beispiel-firma.de
13227;10539;02.04.2025;6885,50;Rückzahlung an elke.achterberg@beispiel-firma.de
12555;10700;25.01.2025;7942,80;Dauerauftrag Mai
12373;10385;03.05.2025;664,78;Rechnung 2024-8577, Rückfragen unter 0439/539874-29
11918;10812;12.05.2025;619,21;Lastschrift DE14999999990000010812
13598;10651;02.01.2025;3557,80;Gutschrift Vorgang 4986
13416;10105;17.12.2025;-394,72;Rechnung 2024-0690, Rückfragen unter +49 43 50888355
15593;10077;07.12.2025;6817,58;Lastschrift DE89999999990000010077
12114;10322;10.10.2025;-2599,00;Dauerauftrag August
14368;10336;17.04.2025;7534,54;Rückzahlung an ingo.zangerle@beispiel-firma.de
10490;10133;09.04.2025;3172,98;Rechnung 2024-6245, Rückfragen unter 0546/905965-34
15054;10756;17.03.2025;4017,09;Gutschrift Vorgang 3586
15481;10406;16.07.2025;-1206,91;Rückzahlung an klaus.thelen@beispiel-firma.de
14417;10147;31.08.2025;5890,38;Lastschrift DE69999999990000010147
10581;10308;28.06.2025;-1516,28;Gutschrift Vorgang 6004
10063;10189;21.05.2025;-2953,48;Dauerauftrag September
12541;10210;26.11.2025;5654,09;Rechnung 2024-7287, Rückfragen unter +49 71 99059829
15019;10609;13.08.2025;8113,81;Rückzahlung an elke.vollmering@beispiel-firma.de
10896;10007;10.08.2025;5737,45;Überweisung an Irene Baumgartner
10063;10392;01.07.2025;404,19;Beitrag Oktober – Kundennummer 10392
12401;10455;08.06.2025;2060,22;"Miete Mai; Konto DE17999999990000010455"
10420;10035;03.08.2025;2077,53;Überweisung an Anja Grünwald
14564;10658;02.05.2025;8490,14;"Miete Oktober; Konto DE40999999990000010658"
14935;10007;24.01.2025;6411,78;Beitrag August – Kundennummer 10007
11491;10714;13.03.2025;-2024,33;Überweisung an Dieter Fassbender
14774;10308;27.12.2025;8469,85;Beitrag Dezember – Kundennummer 10308
11533;10021;03.06.2025;406,34;Rechnung 2024-2353, Rückfragen unter (050) 8781818
10798;10532;06.11.2025;8127,56;"Miete August; Konto DE04999999990000010532"
12821;10084;08.02.2025;-2491,63;Überweisung an Christoph Wachsmuth
11218;10231;12.05.2025;-2151,21;Rückzahlung an franziska.achterberg@beispiel-firma.de
13941;10161;21.09.2025;-2026,41;Beitrag März – Kundennummer 10161
12261;10434;26.04.2025;2644,39;Gutschrift Vorgang 6228
11701;10364;04.09.2025;-451,84;Rechnung 2024-8748, Rückfragen unter +49 37 95474822
14207;10686;02.11.2025;847,07;Überweisung an Bernd Reinsberg
13108;10798;05.10.2025;5486,83;Beitrag Dezember – Kundennummer 10798
13395;10833;10.03.2025;-91,07;Gutschrift Vorgang 0142
13437;10637;16.02.2025;-1410,18;Rückzahlung an irene.hasselbach@beispiel-firma.de
13731;10406;15.03.2025;-209,05;Gutschrift Vorgang 9901
14438;10343;02.04.2025;5477,42;Rechnung 2024-3382, Rückfragen unter (037) 3085170
13430;10357;05.11.2025;-1535,37;Überweisung an Nadine Grünwald
15551;10707;28.11.2025;4392,84;Gutschrift Vorgang 9003
11743;10700;04.10.2025;6737,17;"Miete September; Konto DE82999999990000010700"
11043;10644;18.06.2025;6531,31;Lastschrift DE26999999990000010644
13248;10294;07.04.2025;5187,25;Lastschrift DE36999999990000010294
14515;10175;08.08.2025;-2775,55;Gutschrift Vorgang 3093
12730;10049;22.12.2025;4621,21;Dauerauftrag Oktober
15558;10686;17.06.2025;-918,60;Beitrag Januar – Kundennummer 10686
14361;10189;20.06.2025;7997,33;Rechnung 2024-3774, Rückfragen unter +49 84 74738546
11939;10084;05.12.2025;4875,14;Rückzahlung an christoph.wachsmuth@beispiel-firma.de
15453;10476;18.09.2025;8616,31;Lastschrift DE38999999990000010476
12324;10637;13.06.2025;6970,11;"Miete Juni; Konto DE19999999990000010637"
12807;10462;29.05.2025;6520,72;Gutschrift Vorgang 2302
13920;10553;30.10.2025;7711,23;Lastschrift DE25999999990000010553
14326;10175;07.04.2025;-550,46;Überweisung an Franziska Fassbender
13486;10140;18.02.2025;-2834,87;Beitrag Juni – Kundennummer 10140
14144;10441;19.10.2025;6045,10;"Miete Dezember; Konto DE03999999990000010441"
11820;10798;29.09.2025;4253,15;Gutschrift Vorgang 9829
10777;10077;27.02.2025;3083,54;Überweisung an Renate Thelen
10525;10056;20.10.2025;8545,71;Beitrag Mai – Kundennummer 10056
14795;10735;22.12.2025;-1264,41;Gutschrift Vorgang 2925
12149;10140;28.05.2025;8424,35;Überweisung an Dieter Fassbender
13703;10147;03.11.2025;-2478,48;Rechnung 2024-3301, Rückfragen unter +49 48 7967322
11484;10735;26.12.2025;2346,77;Rückzahlung an doris.muehlbauer@beispiel-firma.de
12289;10252;25.05.2025;4688,19;Gutschrift Vorgang 5858
11302;10455;28.09.2025;3593,63;"Miete Juni; Konto DE17999999990000010455"
14123;10049;04.01.2025;5524,89;Überweisung an Anja Vollmering
11008;10336;03.04.2025;-1012,03;Beitrag November – Kundennummer 10336
12240;10672;22.08.2025;902,35;"Miete Mai; Konto DE54999999990000010672"
14403;10469;28.01.2025;6058,58;Rückzahlung an birgit.steinkamp@beispiel-firma.de
13444;10672;14.01.2025;3614,52;Rechnung 2024-1950, Rückfragen unter +49 63 43283493
14340;10427;07.09.2025;6844,88;Rechnung 2024-9586, Rückfragen unter 0695/827991-18
14277;10007;08.08.2025;512,31;Rückzahlung an irene.baumgartner@beispiel-firma.de
15012;10525;30.06.2025;8348,72;Lastschrift DE87999999990000010525
10994;10308;12.07.2025;5248,76;"Miete März; Konto DE50999999990000010308"
10091;10385;22.10.2025;4987,07;"Miete Dezember; Konto DE37999999990000010385"
15642;10175;14.11.2025;8905,71;Lastschrift DE07999999990000010175
11694;10301;22.03.2025;1169,16;Rechnung 2024-7452, Rückfragen unter +49 56 40674489
12296;10315;28.09.2025;-1307,44;Überweisung an Heike Kettenbach
10805;10133;13.07.2025;1394,94;Rückzahlung an gisela.vollmering@beispiel-firma.de
11407;10406;12.03.2025;-1182,85;Gutschrift Vorgang 3616
10896;10343;11.03.2025;3367,17;Rechnung 2024-5553, Rückfragen unter (037) 3085170
11463;10469;04.07.2025;4176,24;Rechnung 2024-7405, Rückfragen unter +49 57 70945276
11890;10273;18.08.2025;2664,29;"Miete Februar; Konto DE15999999990000010273"
13542;10259;14.07.2025;3454,91;Rückzahlung an lena.obermeier@beispiel-firma.de
12905;10714;30.04.2025;6522,74;Rückzahlung an dieter.fassbender@beispiel-firma.de
12590;10385;30.06.2025;2237,82;Rechnung 2024-3324, Rückfragen unter 0439/539874-29
10574;10294;21.05.2025;1398,88;Beitrag Februar – Kundennummer 10294
11057;10042;14.10.2025;3870,36;"Miete Juli; Konto DE54999999990000010042"
15698;10434;16.05.2025;7243,58;Beitrag Dezember – Kundennummer 10434
10784;10245;03.05.2025;5429,43;Beitrag Oktober – Kundennummer 10245
13913;10364;26.05.2025;7423,86;"Miete Juli; Konto DE16999999990000010364"
13549;10371;12.01.2025;6383,40;Rechnung 2024-1740, Rückfragen unter +49 50 87076939
13913;10658;09.07.2025;8536,43;Lastschrift DE40999999990000010658
11561;10609;22.04.2025;1744,94;Lastschrift DE81999999990000010609
12835;10644;06.04.2025;3426,32;Rechnung 2024-4066, Rückfragen unter +49 87 87833295
12065;10721;25.02.2025;4262,67;Beitrag Mai – Kundennummer 10721
13409;10420;14.02.2025;3402,74;Beitrag November – Kundennummer 10420
12968;10777;13.08.2025;5335,86;Überweisung an Petra Uhlenbrock
15243;10189;04.04.2025;8807,21;Beitrag März – Kundennummer 10189
14508;10777;04.11.2025;-1508,98;Dauerauftrag April
11232;10679;22.01.2025;-2877,42;Gutschrift Vorgang 2625
11505;10350;25.09.2025;1110,74;Lastschrift DE02999999990000010350
11267;10056;24.02.2025;7594,59;Dauerauftrag Juli
12219;10560;29.04.2025;5418,44;Rückzahlung an olaf.jahnke@beispiel-firma.de
12212;10434;26.11.2025;-44,82;Beitrag November – Kundennummer 10434
12492;10217;25.02.2025;-2609,53;Gutschrift Vorgang 8420
11204;10098;16.01.2025;2065,39;"Miete November; Konto DE20999999990000010098"
15635;10784;01.06.2025;5843,29;Überweisung an Lars Zangerle
14802;10665;16.09.2025;6658,17;Rückzahlung an jutta.baumgartner@beispiel-firma.de
14221;10672;10.10.2025;2762,87;Dauerauftrag Dezember
10749;10238;29.11.2025;-1288,83;"Miete September; Konto DE70999999990000010238"
15061;10434;02.08.2025;2912,38;Beitrag Dezember – Kundennummer 10434
13115;10798;20.03.2025;1208,36;Lastschrift DE90999999990000010798
14676;10105;13.11.2025;-2035,60;Rückzahlung an lena.kettenbach@beispiel-firma.de
10889;10126;15.04.2025;6619,08;Lastschrift DE48999999990000010126
10658;10336;22.07.2025;6315,87;Überweisung an Ingo Zangerle
13472;10063;27.05.2025;3158,72;Beitrag Oktober – Kundennummer 10063
11736;10112;27.07.2025;-2186,92;Lastschrift DE34999999990000010112
14984;10399;14.03.2025;525,10;Rückzahlung an elke.hasselbach@beispiel-firma.de
11407;10819;17.12.2025;-1220,39;"Miete September; Konto DE21999999990000010819"
12940;10301;03.07.2025;8014,28;Rechnung 2024-6419, Rückfragen unter +49 56 40674489
13717;10595;02.12.2025;1198,23;Dauerauftrag April
15180;10294;02.05.2025;3135,76;Lastschrift DE36999999990000010294
15138;10217;14.03.2025;6508,17;Rechnung 2024-4372, Rückfragen unter (050) 2661451
14998;10567;22.04.2025;1782,46;Überweisung an Irene Zangerle
12247;10392;30.03.2025;499,80;Beitrag März – Kundennummer 10392
15292;10693;17.07.2025;-518,52;Lastschrift DE75999999990000010693
12065;10777;01.08.2025;-2738,97;Beitrag September – Kundennummer 10777
12247;10091;08.12.2025;4457,61;Lastschrift DE13999999990000010091
13129;10630;27.06.2025;-847,82;Dauerauftrag November
14942;10497;26.06.2025;4217,45;Rechnung 2024-2166, Rückfragen unter +49 60 82966050
15649;10154;03.06.2025;4903,57;Überweisung an Andreas Reinsberg
10924;10042;17.10.2025;6433,26;Rückzahlung an bernd.vollmering@beispiel-firma.de
12975;10371;29.05.2025;5732,71;Dauerauftrag September
11085;10490;03.01.2025;1872,88;Dauerauftrag Juni
13045;10574;29.11.2025;1794,63;Rechnung 2024-3656, Rückfragen unter +49 73 81194342
13171;10315;16.01.2025;523,66;Lastschrift DE57999999990000010315
12303;10189;14.02.2025;2894,77;Überweisung an Monika Mühlbauer
12576;10434;12.04.2025;6375,97;Rechnung 2024-3396, Rückfragen unter (050) 1129617
11932;10798;12.08.2025;-501,89;Lastschrift DE90999999990000010798
14928;10133;18.04.2025;4828,72;Gutschrift Vorgang 8897
10966;10497;05.06.2025;8161,12;Dauerauftrag September
11911;10035;02.07.2025;2459,59;Rückzahlung an anja.gruenwald@beispiel-firma.de
14613;10385;20.12.2025;5793,27;Gutschrift Vorgang 1688
11204;10777;15.03.2025;-63,59;Gutschrift Vorgang 8649
13535;10511;04.10.2025;7426,01;"Miete Januar; Konto DE73999999990000010511"
11400;10742;14.04.2025;4969,52;Dauerauftrag Juni
11659;10056;01.12.2025;6356,83;Rückzahlung an peter.achterberg@beispiel-firma.de
15628;10462;12.01.2025;3148,20;Lastschrift DE24999999990000010462
15404;10308;01.08.2025;4397,60;Rechnung 2024-4994, Rückfragen unter (063) 6070129
10063;10490;23.09.2025;6382,75;Lastschrift DE52999999990000010490
13661;10350;30.07.2025;3819,31;Lastschrift DE02999999990000010350
13983;10182;11.04.2025;8582,43;Gutschrift Vorgang 2432
14802;10182;22.01.2025;1409,66;Lastschrift DE14999999990000010182
15453;10231;12.05.2025;1063,16;Überweisung an Franziska Achterberg
15481;10476;13.06.2025;4995,03;Dauerauftrag Februar
10994;10175;10.06.2025;7875,63;"Miete März; Konto DE07999999990000010175"
12184;10280;31.12.2025;8128,28;Rückzahlung an peter.pflueger@beispiel-firma.de
11743;10350;01.07.2025;6630,44;Rückzahlung an holger.vollmering@beispiel-firma.de
14746;10273;18.07.2025;2246,45;Lastschrift DE15999999990000010273
13171;10763;19.02.2025;6462,49;Rechnung 2024-0845, Rückfragen unter +49 35 78788331
12401;10672;25.09.2025;7038,27;Rückzahlung an frank.niederegger@beispiel-firma.de
10623;10763;12.03.2025;-86,38;Lastschrift DE55999999990000010763
13500;10427;24.09.2025;7416,82;Überweisung an Heike Niederegger
12905;10588;14.01.2025;1834,52;Dauerauftrag August
10210;10126;15.04.2025;-2671,55;Beitrag Oktober – Kundennummer 10126
15397;10658;01.03.2025;271,14;Rückzahlung an dieter.muehlbauer@beispiel-firma.de
12716;10231;25.01.2025;5888,20;Überweisung an Franziska Achterberg
15201;10735;29.08.2025;-2151,47;Überweisung an Doris Mühlbauer
12275;10735;13.10.2025;7147,48;Überweisung an Doris Mühlbauer
11876;10665;09.10.2025;8326,08;"Miete August; Konto DE47999999990000010665"
13815;10049;18.12.2025;5302,72;"Miete Januar; Konto DE61999999990000010049"
15390;10798;19.10.2025;-2723,85;"Miete Juli; Konto DE90999999990000010798"
11848;10133;08.03.2025;8805,94;Rückzahlung an gisela.vollmering@beispiel-firma.de
14634;10049;23.10.2025;-893,98;Gutschrift Vorgang 8676
11764;10553;18.04.2025;75,83;Lastschrift DE25999999990000010553
15117;10441;06.06.2025;195,76;Überweisung an Elke Niederegger
14592;10420;11.06.2025;8970,00;Rückzahlung an gerd.thelen@beispiel-firma.de
14935;10287;05.05.2025;5246,16;Dauerauftrag November
13703;10665;27.11.2025;8927,00;"Miete April; Konto DE47999999990000010665"
12933;10511;17.07.2025;-246,75;"Miete Februar; Konto DE73999999990000010511"
14053;10070;21.07.2025;7956,29;Überweisung an Martin Baumgartner
11393;10819;16.11.2025;4132,02;Gutschrift Vorgang 8649
14515;10259;15.11.2025;-734,38;Lastschrift DE91999999990000010259
13248;10385;07.05.2025;3475,78;"Miete Juni; Konto DE37999999990000010385"
10042;10182;11.09.2025;-796,46;Rückzahlung an peter.zangerle@beispiel-firma.de
10847;10581;25.11.2025;5948,96;Beitrag Mai – Kundennummer 10581
13724;10630;10.06.2025;4470,13;Gutschrift Vorgang 1529
11169;10091;24.04.2025;-1803,42;Gutschrift Vorgang 3308
15747;10350;19.02.2025;3753,71;Beitrag November – Kundennummer 10350
12779;10469;15.08.2025;8106,98;Rechnung 2024-2778, Rückfragen unter +49 57 70945276
14025;10448;06.05.2025;8411,72;"Miete Dezember; Konto DE10999999990000010448"
13766;10651;06.06.2025;8464,15;Beitrag Dezember – Kundennummer 10651
13010;10721;18.06.2025;-765,27;Lastschrift DE13999999990000010721
13213;10210;20.11.2025;6448,00;Beitrag Juli – Kundennummer 10210
12884;10581;10.04.2025;-71,59;Rechnung 2024-8844, Rückfragen unter 0551/809732-94
10392;10770;14.02.2025;8647,80;Überweisung an Gerd Reinsberg
15005;10000;18.06.2025;6606,98;Gutschrift Vorgang 2305
15040;10511;12.03.2025;8186,00;Rückzahlung an franziska.zangerle@beispiel-firma.de
10959;10182;09.07.2025;4374,68;Dauerauftrag Januar
13773;10308;12.02.2025;6521,45;Lastschrift DE50999999990000010308
13143;10035;21.03.2025;1771,05;Lastschrift DE47999999990000010035
12688;10833;23.02.2025;-152,43;Überweisung an Anja Grünwald
13220;10140;05.06.2025;3711,89;Beitrag Oktober – Kundennummer 10140
13416;10588;03.03.2025;1657,62;Überweisung an Bernd Quandtner
14123;10140;29.10.2025;4513,74;Gutschrift Vorgang 6194
12877;10231;28.07.2025;-1468,71;"Miete Oktober; Konto DE63999999990000010231"
11617;10021;03.12.2025;1152,72;Rechnung 2024-2495, Rückfragen unter (050) 8781818
12065;10203;13.03.2025;212,30;Rechnung 2024-6867, Rückfragen unter +49 49 45176517
14991;10329;29.07.2025;6501,57;Dauerauftrag September
11358;10266;22.03.2025;2188,80;Rückzahlung an christoph.thelen@beispiel-firma.de
11771;10301;21.02.2025;8404,27;"Miete Juli; Konto DE43999999990000010301"
12751;10133;14.03.2025;-1344,58;Überweisung an Gisela Vollmering
13339;10476;06.12.2025;4932,46;Lastschrift DE38999999990000010476
13346;10091;15.01.2025;-2320,32;Rechnung 2024-5442, Rückfragen unter 0741/131783-19
15397;10588;20.08.2025;-2699,07;Dauerauftrag März
10378;10644;13.04.2025;8796,71;Lastschrift DE26999999990000010644
10427;10399;09.10.2025;-15,18;Rechnung 2024-4694, Rückfragen unter 0232/307194-20
11785;10777;26.10.2025;-2892,84;Lastschrift DE69999999990000010777
14445;10714;23.12.2025;4461,24;Überweisung an Dieter Fassbender
14557;10196;14.09.2025;8287,97;Beitrag September – Kundennummer 10196
11470;10021;08.04.2025;-961,29;Gutschrift Vorgang 9262
15166;10126;18.02.2025;360,81;Rechnung 2024-0615, Rückfragen unter 0779/709203-29
12527;10686;18.01.2025;1822,63;"Miete November; Konto DE68999999990000010686"
14529;10714;29.10.2025;-2041,97;Gutschrift Vorgang 9675
14438;10182;06.09.2025;6671,03;Beitrag November – Kundennummer 10182
13108;10588;09.02.2025;-2822,32;Gutschrift Vorgang 8962
14172;10322;06.01.2025;7870,73;Beitrag August – Kundennummer 10322
12037;10294;21.07.2025;7577,95;Gutschrift Vorgang 3903
12793;10329;19.11.2025;2532,90;Gutschrift Vorgang 5127
15691;10616;10.10.2025;686,56;Dauerauftrag Januar
13633;10350;05.11.2025;2231,51;"Miete April; Konto DE02999999990000010350"
14221;10560;08.05.2025;1642,16;Rechnung 2024-5189, Rückfragen unter 0200/206437-60
13430;10021;03.04.2025;6943,08;"Miete Oktober; Konto DE33999999990000010021"
15278;10294;05.09.2025;2297,29;Lastschrift DE36999999990000010294
10063;10182;05.10.2025;2058,91;Beitrag Februar – Kundennummer 10182
15250;10441;18.04.2025;6730,58;Beitrag März – Kundennummer 10441
10119;10406;14.11.2025;6632,23;Dauerauftrag August
14585;10245;18.12.2025;1300,13;Beitrag September – Kundennummer 10245
13122;10497;05.08.2025;-1838,22;"Miete Januar; Konto DE59999999990000010497"
10231;10833;06.03.2025;5402,82;Überweisung an Anja Grünwald
13164;10497;08.07.2025;5934,57;Rückzahlung an elke.lindhorst@beispiel-firma.de
13773;10392;18.03.2025;3186,56;Gutschrift Vorgang 5078
12891;10028;07.09.2025;-928,09;Beitrag September – Kundennummer 10028
10000;10336;18.09.2025;-1915,77;Dauerauftrag April
15264;10378;23.02.2025;893,91;Rückzahlung an frank.vollmering@beispiel-firma.de
14445;10091;31.05.2025;8634,27;"Miete Dezember; Konto DE13999999990000010091"
13108;10756;02.08.2025;2076,76;Lastschrift DE48999999990000010756
11932;10392;11.11.2025;-2227,97;"Miete Februar; Konto DE44999999990000010392"
13668;10063;16.06.2025;-2560,66;"Miete September; Konto DE75999999990000010063"
13213;10427;27.02.2025;6055,24;Dauerauftrag August
13045;10182;04.07.2025;2807,88;Rückzahlung an peter.zangerle@beispiel-firma.de
12681;10735;24.01.2025;8198,18;Rechnung 2024-9011, Rückfragen unter (054) 1742109
11197;10056;29.11.2025;7198,85;Rechnung 2024-8504, Rückfragen unter (069) 4393053
13934;10770;03.09.2025;3230,27;Rechnung 2024-3893, Rückfragen unter +49 45 67080005
12310;10161;13.01.2025;5796,87;Rückzahlung an claudia.muehlbauer@beispiel-firma.de
12842;10119;04.10.2025;-209,28;Rückzahlung an monika.fassbender@beispiel-firma.de
11029;10469;24.11.2025;1232,54;Beitrag Mai – Kundennummer 10469
13829;10091;25.10.2025;1127,04;Beitrag Oktober – Kundennummer 10091
10434;10420;20.06.2025;8208,16;Rückzahlung an gerd.thelen@beispiel-firma.de
14746;10609;24.11.2025;2130,61;Dauerauftrag Januar
13500;10112;25.05.2025;2207,93;Rechnung 2024-6495, Rückfragen unter (057) 9540253
15390;10826;21.03.2025;3479,18;Rückzahlung an bernd.pflueger@beispiel-firma.de
10147;10266;29.04.2025;3975,66;Beitrag Januar – Kundennummer 10266
11974;10441;08.09.2025;8373,94;"Miete Dezember; Konto DE03999999990000010441"
15033;10021;04.09.2025;3993,55;Überweisung an Monika Illigen
11456;10798;20.10.2025;4402,41;Gutschrift Vorgang 5295
12163;10455;12.08.2025;6776,66;Rückzahlung an renate.zangerle@beispiel-firma.de
12828;10105;09.12.2025;-2361,22;Beitrag Oktober – Kundennummer 10105
14060;10273;15.02.2025;5927,88;Beitrag April – Kundennummer 10273
15740;10560;29.06.2025;-1471,71;Rückzahlung an olaf.jahnke@beispiel-firma.de
12086;10182;14.11.2025;-2624,50;Beitrag September – Kundennummer 10182
10448;10441;10.01.2025;6462,28;"Miete Juni; Konto DE03999999990000010441"
10280;10728;23.10.2025;5329,39;Lastschrift DE20999999990000010728
13087;10539;23.07.2025;1001,72;"Miete August; Konto DE11999999990000010539"
13479;10238;14.10.2025;-2876,29;Rückzahlung an holger.baumgartner@beispiel-firma.de
11295;10280;03.01.2025;-421,82;Rückzahlung an peter.pflueger@beispiel-firma.de
13164;10448;29.04.2025;-2740,04;Rechnung 2024-0967, Rückfragen unter 0584/578629-43
12352;10749;10.05.2025;7085,42;Rückzahlung an anja.dettmer@beispiel-firma.de
13829;10469;10.05.2025;-1073,59;Lastschrift DE31999999990000010469
11918;10497;05.10.2025;3525,41;Gutschrift Vorgang 1714
10679;10154;24.10.2025;6588,12;Dauerauftrag Mai
14599;10028;16.11.2025;-1991,42;"Miete November; Konto DE40999999990000010028"
13038;10154;13.06.2025;3629,79;Beitrag Februar – Kundennummer 10154
14102;10721;01.05.2025;-607,60;Rückzahlung an jutta.obermeier@beispiel-firma.de
14599;10721;21.01.2025;-2105,80;Lastschrift DE13999999990000010721
12023;10511;03.07.2025;-1853,23;Lastschrift DE73999999990000010511
14214;10021;19.12.2025;-1249,11;"Miete April; Konto DE33999999990000010021"
11358;10812;07.05.2025;1889,18;Rückzahlung an lars.quandtner@beispiel-firma.de
14865;10469;27.06.2025;6157,16;Rückzahlung an birgit.steinkamp@beispiel-firma.de
15453;10210;25.03.2025;6396,43;Rechnung 2024-2613, Rückfragen unter +49 71 99059829
10322;10490;23.09.2025;3288,99;"Miete Mai; Konto DE52999999990000010490"
11085;10161;28.07.2025;5996,05;Überweisung an Claudia Mühlbauer
12723;10049;22.06.2025;539,98;Rechnung 2024-8800, Rückfragen unter 0604/480379-11
13381;10777;01.12.2025;2353,76;Beitrag Januar – Kundennummer 10777
12128;10007;26.06.2025;1334,48;Rechnung 2024-0971, Rückfragen unter 0702/817879-16
11043;10147;29.10.2025;5725,93;Beitrag November – Kundennummer 10147
12653;10112;02.09.2025;5054,18;Rückzahlung an peter.quandtner@beispiel-firma.de
11421;10042;17.05.2025;1137,59;Lastschrift DE54999999990000010042
10469;10091;05.04.2025;8603,41;Gutschrift Vorgang 9120
13290;10203;31.08.2025;2127,98;Rechnung 2024-7180, Rückfragen unter +49 49 45176517
11302;10035;27.09.2025;965,76;Rechnung 2024-4784, Rückfragen unter +49 86 76464505
15327;10581;13.02.2025;8348,10;Dauerauftrag Oktober
11827;10119;28.03.2025;-2316,63;Gutschrift Vorgang 9805
10056;10105;31.05.2025;3382,25;"Miete Dezember; Konto DE27999999990000010105"
13346;10455;18.03.2025;3483,95;Überweisung an Renate Zangerle
14263;10133;13.01.2025;2527,36;Rückzahlung an gisela.vollmering@beispiel-firma.de
12310;10364;04.04.2025;5166,31;Überweisung an Norbert Thelen
12569;10049;22.09.2025;8673,96;Rückzahlung an anja.vollmering@beispiel-firma.de
11239;10623;26.08.2025;7256,46;Überweisung an Nadine Wachsmuth
14662;10602;02.09.2025;3455,08;Dauerauftrag September
14431;10504;18.08.2025;-2590,85;Rechnung 2024-0337, Rückfragen unter +49 56 54937953
12842;10420;04.12.2025;-524,43;Überweisung an Gerd Thelen
14851;10812;15.04.2025;4831,27;Rechnung 2024-1035, Rückfragen unter 0668/474264-40
15803;10721;28.01.2025;-2154,13;Gutschrift Vorgang 2026
12177;10770;28.01.2025;1293,20;Rechnung 2024-8183, Rückfragen unter +49 45 67080005
10077;10532;05.12.2025;1570,07;Überweisung an Peter Baumgartner
14137;10532;18.12.2025;-669,89;Beitrag März – Kundennummer 10532
14578;10007;20.12.2025;2453,01;Lastschrift DE19999999990000010007
12527;10728;14.12.2025;1605,29;Rückzahlung an frank.illigen@beispiel-firma.de
11631;10371;20.06.2025;6895,61;Lastschrift DE23999999990000010371
13444;10742;13.08.2025;2522,54;Beitrag März – Kundennummer 10742
12618;10560;28.05.2025;-610,29;Lastschrift DE32999999990000010560
15726;10175;31.01.2025;3982,98;Rückzahlung an franziska.fassbender@beispiel-firma.de
12296;10126;16.12.2025;6198,98;Lastschrift DE48999999990000010126
11953;10511;23.08.2025;8601,99;Lastschrift DE73999999990000010511
12044;10448;17.10.2025;7,84;Rückzahlung an andreas.gruenwald@beispiel-firma.de
10441;10028;19.03.2025;5236,58;Dauerauftrag Januar
